Outlier,comment_count,down_votes,post_id,reputation,score,up_votes,user_id,view_count,views
reputation,0,4,35106627,20009,1,57,275501,20,326
reputation,1,623,34573995,16675,0,787,1822164,20,2758
reputation,0,778,35155919,12553,2,920,789657,13,4323
reputation,0,982,33372277,45986,0,7664,13744,12,3214
reputation,4,1629,36012966,263224,0,1401,507674,18,21673
reputation,0,4,37723493,7668,0,284,2145647,4,376
reputation,1,187,36572155,35053,1,483,191463,12,2370
reputation,0,187,34476742,35053,0,483,191463,18,2370
reputation,0,283,37746794,13423,0,1419,39643,10,1368
reputation,0,283,37597279,13423,0,1419,39643,13,1368
reputation,2,32,25503699,10582,0,2577,846476,17,743
reputation,0,32,31809898,10582,0,2577,846476,11,743
reputation,0,32,25253387,10582,0,2577,846476,19,743
reputation,0,32,34819144,10582,0,2577,846476,12,743
reputation,0,32,37118519,10582,0,2577,846476,8,743
reputation,4,288,15047053,18947,0,3874,156755,16,5049
reputation,0,707,35397328,68366,0,2485,102441,17,5776
reputation,0,707,36923309,68366,0,2485,102441,14,5776
reputation,0,707,35873641,68366,1,2485,102441,19,5776
reputation,2,707,35566927,68366,0,2485,102441,13,5776
reputation,0,32,31974416,10549,0,236,1127699,19,1650
reputation,0,272,30871945,52400,0,2547,16511,15,4683
reputation,2,18,32074632,17783,1,1862,509706,19,1388
reputation,1,97,25306834,26725,1,623,898289,12,1647
reputation,2,11,22179082,16473,0,1262,683553,14,1586
reputation,0,11,31927733,16473,0,1262,683553,12,1586
reputation,0,11,37471953,16473,0,1262,683553,19,1586
reputation,0,11,30404261,16473,0,1262,683553,15,1586
reputation,3,11,32661087,16473,-1,1262,683553,19,1586
reputation,0,571,37466249,41898,0,2195,37947,19,3435
reputation,2,758,25726485,21370,0,829,978756,18,3847
reputation,0,1440,13199838,88724,0,2323,14357,20,8090
reputation,1,1440,33375247,88724,0,2323,14357,12,8090
reputation,0,20,23653190,17320,1,3275,2120261,20,816
reputation,0,20,37213268,17320,0,3275,2120261,15,816
reputation,3,319,34888017,24812,0,1280,31667,10,2322
reputation,0,319,36572706,24812,2,1280,31667,20,2322
reputation,0,319,33771746,24812,1,1280,31667,10,2322
reputation,0,573,33067682,14571,0,2446,15371,18,1260
reputation,0,573,34655850,14571,0,2446,15371,19,1260
reputation,0,573,30827959,14571,1,2446,15371,17,1260
reputation,0,66,22075789,17545,0,637,47775,18,2526
reputation,0,317,37252735,8016,0,4614,180430,15,948
reputation,0,1,37659593,18125,0,626,31751,15,1047
reputation,0,71,33632499,12492,0,494,178757,13,1220
reputation,0,30,37393059,24342,0,2900,33051,15,3170
reputation,0,664,31535822,77709,0,6365,370103,18,5029
reputation,1,664,33038944,77709,0,6365,370103,15,5029
reputation,4,9,36383540,8830,0,369,26107,17,798
reputation,0,345,31612292,24088,0,590,1153938,10,1344
reputation,0,46,37379076,9346,0,1683,276193,17,749
reputation,0,28,31291218,18934,0,2052,15825,19,1265
reputation,0,21,36114490,12306,0,142,48886,19,1239
reputation,0,16,24939395,10656,0,2412,141022,19,991
reputation,0,16,35887536,10656,0,2412,141022,15,991
reputation,0,50,36691114,20619,1,969,436028,19,2733
reputation,0,50,36176739,20619,0,969,436028,20,2733
reputation,2,6,36131376,22418,0,401,478144,18,2916
reputation,0,6,36845567,22418,0,401,478144,14,2916
reputation,7,6,33922987,22418,0,401,478144,20,2916
reputation,0,46,36445618,39628,1,1494,11898,17,2328
reputation,0,46,26648659,39628,1,1494,11898,16,2328
reputation,0,187,31655571,28969,0,2452,429427,13,1139
reputation,2,29,33334096,8508,0,46,4396258,19,157
reputation,0,16,35012155,30425,0,644,274,18,1883
reputation,0,16,37544056,30425,1,644,274,20,1883
